"MULTIPOLYGON(((120.0061801 30.2864348,120.0062427 30.2864529,120.0063538 30.2861661,120.0062912 30.286148,120.0061801 30.2864348)))","5.77"
"MULTIPOLYGON(((120.006874 30.2865925,120.0071004 30.2866579,120.0071198 30.2866079,120.0068934 30.2865425,120.006874 30.2865925)))","10.70"
"MULTIPOLYGON(((120.0141385 30.2879005,120.0143003 30.2879514,120.0143318 30.2878769,120.0146533 30.2879781,120.0147126 30.2878375,120.0142292 30.2876854,120.0141385 30.2879005)))","21.82"
"MULTIPOLYGON(((120.0126931 30.2957689,120.0131785 30.2959061,120.0132344 30.2957588,120.012749 30.2956216,120.0126931 30.2957689)))","25.24"
"MULTIPOLYGON(((120.0128452 30.2877314,120.0130112 30.2877798,120.0130563 30.2876645,120.0132605 30.287724,120.0133174 30.2875783,120.013114 30.287519,120.0131475 30.2874333,120.0133463 30.2874912,120.0134019 30.2873489,120.0132357 30.2873005,120.0131906 30.2874159,120.0129924 30.2873582,120.0129361 30.2875024,120.0131337 30.2875599,120.0131001 30.2876458,120.0129013 30.2875879,120.0128452 30.2877314)))","14.33"
"MULTIPOLYGON(((120.0187106 30.2822438,120.0190794 30.2823414,120.0191009 30.2822808,120.0187321 30.2821832,120.0187106 30.2822438)))","10.28"
"MULTIPOLYGON(((120.0088429 30.2814186,120.0088633 30.2814239,120.0088593 30.2814353,120.0089802 30.2814667,120.0089841 30.2814558,120.0090284 30.2814673,120.0090552 30.2813906,120.009014 30.2813799,120.0090193 30.2813645,120.0088921 30.2813314,120.0088872 30.2813454,120.00887 30.281341,120.0088429 30.2814186)))","13.58"
"MULTIPOLYGON(((120.0022734 30.2802384,120.0024756 30.2802848,120.0025262 30.2801205,120.0023567 30.2800816,120.0023163 30.280213,120.0022835 30.2802054,120.0022734 30.2802384)))","25.85"
"MULTIPOLYGON(((120.0166806 30.2779358,120.0168531 30.2779755,120.016894 30.2778426,120.0169019 30.2778172,120.0168275 30.2778001,120.0168032 30.277879,120.0167051 30.2778565,120.0166806 30.2779358)))","8.27"
"MULTIPOLYGON(((120.0126601 30.2749218,120.0132466 30.2750886,120.0132996 30.2749495,120.0127131 30.2747826,120.0126601 30.2749218)))","25.43"
"MULTIPOLYGON(((120.0036072 30.2776266,120.0039037 30.2776887,120.0039442 30.2775444,120.0036477 30.2774823,120.0036072 30.2776266)))","32.77"
"MULTIPOLYGON(((120.0081864 30.2858613,120.0084494 30.2859357,120.008473 30.2858734,120.0082101 30.285799,120.0081864 30.2858613)))","6.77"
"MULTIPOLYGON(((120.0067988 30.2867795,120.0070252 30.2868449,120.0070446 30.2867948,120.0068181 30.2867294,120.0067988 30.2867795)))","5.94"
"MULTIPOLYGON(((120.0124911 30.2853663,120.0127505 30.28544,120.0128355 30.285217,120.0125761 30.2851433,120.0124911 30.2853663)))","11.19"
"MULTIPOLYGON(((119.9825064 30.286037,119.9827074 30.2860694,119.9828237 30.2855317,119.9826225 30.2854993,119.9825064 30.286037)))","25.92"
"MULTIPOLYGON(((119.977335 30.2825902,119.9776407 30.2826537,119.9777253 30.2823501,119.9774196 30.2822866,119.977335 30.2825902)))","12.66"
"MULTIPOLYGON(((119.9754727 30.2794096,119.9755174 30.2794141,119.9755594 30.2794184,119.9755805 30.279231,119.9754928 30.2792246,119.9754727 30.2794096)))","13.11"
"MULTIPOLYGON(((120.0162157 30.2861327,120.0165603 30.2862292,120.016534 30.2862991,120.0167114 30.2863488,120.0167351 30.2862857,120.0168913 30.2863294,120.0169232 30.2862443,120.0162451 30.2860545,120.0162157 30.2861327)))","17.15"
"MULTIPOLYGON(((120.0111969 30.2834389,120.0114042 30.2834962,120.0114319 30.2834215,120.0116234 30.2834745,120.0116875 30.2833018,120.0114862 30.2832461,120.0114604 30.2833156,120.0112629 30.2832609,120.0111969 30.2834389)))","29.88"
"MULTIPOLYGON(((119.9828071 30.2965958,119.9829332 30.2966047,119.9829332 30.2966402,119.9830568 30.2966447,119.9830593 30.2966136,119.9833116 30.2966158,119.9833219 30.2965313,119.9828097 30.296518,119.9828071 30.2965958)))","8.74"
"MULTIPOLYGON(((119.9926715 30.2879969,119.9930464 30.2880791,119.9930827 30.2879832,119.9927017 30.2878995,119.9926715 30.2879969)))","76.80"
"MULTIPOLYGON(((120.02091 30.2781842,120.0209481 30.2783347,120.0211894 30.2783985,120.0211063 30.2780255,120.02091 30.2781842)))","24.66"
"MULTIPOLYGON(((119.979999 30.2842256,119.9803147 30.2842931,119.9804289 30.2838949,119.9801132 30.2838274,119.979999 30.2842256)))","11.02"
"MULTIPOLYGON(((119.9824862 30.2836693,119.9827471 30.2836891,119.9826912 30.2840926,119.9829162 30.2841149,119.9830065 30.2835294,119.9825077 30.2834663,119.9824862 30.2836693)))","18.38"
"MULTIPOLYGON(((119.9808966 30.283203,119.9813969 30.2832754,119.9814267 30.2831215,119.9809264 30.2830492,119.9808966 30.283203)))","15.75"
"MULTIPOLYGON(((119.980946 30.2829519,119.9814324 30.2830296,119.9814634 30.2828849,119.9809769 30.2828073,119.980946 30.2829519)))","17.81"
"MULTIPOLYGON(((119.9810117 30.2827158,119.9814825 30.2828038,119.9815278 30.2826231,119.981057 30.282535,119.9810117 30.2827158)))","17.83"
"MULTIPOLYGON(((120.0116993 30.2793448,120.0119388 30.2794134,120.0119818 30.2793014,120.0117423 30.2792328,120.0116993 30.2793448)))","18.69"
"MULTIPOLYGON(((120.0113568 30.27851,120.0115979 30.2785791,120.0116409 30.2784672,120.0113998 30.2783981,120.0113568 30.27851)))","18.26"
